date,product,units_sold,revenue
2023-01-01,Product A,148,2960
2023-01-01,Product B,157,5495
2023-01-01,Product C,60,900
2023-02-01,Product A,116,2320
2023-02-01,Product B,180,6300
2023-02-01,Product C,174,2610
2023-03-01,Product A,153,3060
2023-03-01,Product B,127,4445
2023-03-01,Product C,172,2580
2023-04-01,Product A,141,2820
2023-04-01,Product B,199,6965
2023-04-01,Product C,105,1575
2023-05-01,Product A,179,3580
2023-05-01,Product B,85,2975
2023-05-01,Product C,122,1830
2023-06-01,Product A,85,1700
2023-06-01,Product B,74,2590
2023-06-01,Product C,114,1710
2023-07-01,Product A,186,3720
2023-07-01,Product B,87,3045
2023-07-01,Product C,129,1935
2023-08-01,Product A,75,1500
2023-08-01,Product B,68,2380
2023-08-01,Product C,134,2010
2023-09-01,Product A,170,3400
2023-09-01,Product B,193,6755
2023-09-01,Product C,75,1125
2023-10-01,Product A,140,2800
2023-10-01,Product B,161,5635
2023-10-01,Product C,130,1950
2023-11-01,Product A,102,2040
2023-11-01,Product B,191,6685
2023-11-01,Product C,172,2580
2023-12-01,Product A,163,3260
2023-12-01,Product B,183,6405
2023-12-01,Product C,116,1740
2024-01-01,Product A,65,1300
2024-01-01,Product B,190,6650
2024-01-01,Product C,53,795
2024-02-01,Product A,73,1460
2024-02-01,Product B,152,5320
2024-02-01,Product C,50,750
2024-03-01,Product A,176,3520
2024-03-01,Product B,135,4725
2024-03-01,Product C,112,1680
2024-04-01,Product A,133,2660
2024-04-01,Product B,66,2310
2024-04-01,Product C,98,1470
2024-05-01,Product A,195,3900
2024-05-01,Product B,106,3710
2024-05-01,Product C,111,1665
2024-06-01,Product A,86,1720
2024-06-01,Product B,189,6615
2024-06-01,Product C,164,2460
2024-07-01,Product A,73,1460
2024-07-01,Product B,70,2450
2024-07-01,Product C,131,1965
2024-08-01,Product A,180,3600
2024-08-01,Product B,175,6125
2024-08-01,Product C,77,1155
2024-09-01,Product A,127,2540
2024-09-01,Product B,191,6685
2024-09-01,Product C,124,1860
2024-10-01,Product A,81,1620
2024-10-01,Product B,190,6650
2024-10-01,Product C,135,2025
2024-11-01,Product A,188,3760
2024-11-01,Product B,102,3570
2024-11-01,Product C,190,2850
2024-12-01,Product A,200,4000
2024-12-01,Product B,123,4305
2024-12-01,Product C,163,2445
